"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2017","578.00","618.00","637.00","569.50","","-5.05%"
"06/01/2017","608.75","605.50","632.25","575.50","","0.95%"
"05/01/2017","603.00","563.50","618.00","549.00","","7.58%"
"04/01/2017","560.50","530.00","569.50","516.50","","5.95%"
"03/01/2017","529.00","539.00","576.50","523.50","","-1.49%"
"02/01/2017","537.00","482.50","540.00","472.20","","12.34%"
"01/01/2017","478.00","447.40","509.00","443.15","","8.86%"
"12/01/2016","439.10","431.30","461.00","406.30","","1.15%"
"11/01/2016","434.10","438.10","463.30","417.70","","-0.12%"
"10/01/2016","434.60","399.10","446.50","357.40","","9.09%"
"09/01/2016","398.40","383.90","430.80","383.90","","3.94%"
"08/01/2016","383.30","407.90","413.30","383.00","24.64M","-6.01%"
"07/01/2016","407.80","374.10","439.90","345.80","75.72M","9.96%"
"06/01/2016","370.86","535.50","538.00","337.40","66.12M","-30.87%"
"05/01/2016","536.50","522.00","552.50","501.50","33.04M","1.85%"
"04/01/2016","526.75","550.00","564.00","518.50","49.31M","-4.66%"
"03/01/2016","552.50","547.50","567.00","526.50","31.68M","1.27%"
"02/01/2016","545.56","543.50","571.00","469.20","42.35M","1.91%"
"01/01/2016","535.36","602.00","614.00","509.50","39.74M","-12.24%"
"12/01/2015","610.00","572.00","618.00","565.50","30.91M","7.35%"
"11/01/2015","568.25","570.00","616.00","542.00","38.87M","-0.89%"
"10/01/2015","573.36","592.00","617.50","551.50","51.58M","-1.69%"
"09/01/2015","583.24","532.00","611.50","521.00","44.06M","8.10%"
"08/01/2015","539.53","534.00","558.00","480.60","28.61M","0.19%"
"07/01/2015","538.53","498.60","578.00","476.70","23.73M","9.02%"
"06/01/2015","493.96","557.00","567.00","481.10","25.46M","-11.71%"
"05/01/2015","559.49","543.00","581.50","530.50","19.50M","3.27%"
"04/01/2015","541.76","600.50","617.50","533.50","17.17M","-10.38%"
